Category/Disorder,query,Severity Level,Empathetic Response,Follow-up Inquiry,Suggestion/Action,Escalation Pathway,Cultural Response
Loneliness,I just want someone to talk to.,Mild,You are not alone. Let's work through this together.,When did you start feeling this way?,Practice progressive muscle relaxation.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","In some cultures, it is common to seek out the support of a close-knit community or extended family when feeling lonely."
Depression,Nothing seems enjoyable anymore.,Moderate,"If things feel overwhelming, reaching out to a friend or professional might help.",What do you feel is triggering these thoughts?,Write down three things you’re grateful for.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","In cultures that emphasize family, it may help to share your feelings with a trusted family member."
Anxiety,I can't stop worrying.,Mild,Consider taking a short break and reflecting on what makes you happy.,When did you start feeling this way?,Take a 10-minute walk to clear your mind.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","If you’re feeling anxious, reaching out to a family member for support might help, especially in close-knit communities."
Self-Esteem,I struggle with confidence.,Severe,Here are some strategies that might help: journaling or mindfulness.,When did you start feeling this way?,Write down three things you’re grateful for.,Reach out to your local emergency services for immediate help.,Building self-esteem in certain cultures is about communal respect. How do you feel about your support network?
Grief,I can’t stop thinking about my loss.,Mild,Would you like some tips to help manage this?,When did you start feeling this way?,Try a 5-minute mindfulness meditation.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.",Many cultures find comfort in ceremonial practices or honoring the memory of loved ones. Is there something that helps you in your grief?
PTSD,I can’t sleep because of nightmares.,Moderate,Would you like some tips to help manage this?,Can you share what’s been on your mind lately?,Practice progressive muscle relaxation.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","For some people, PTSD is processed with the support of family or community. Reaching out to them might provide relief."
Loneliness,I feel so alone.,Severe,I hear you. It’s important to acknowledge these feelings.,What do you usually do to cope with such feelings?,Practice progressive muscle relaxation.,"If you're feeling overwhelmed, please call a crisis hotline: 123-456-7890.","In some cultures, it is common to seek out the support of a close-knit community or extended family when feeling lonely."
Self-Esteem,I always compare myself to others.,Moderate,"If things feel overwhelming, reaching out to a friend or professional might help.",What do you feel is triggering these thoughts?,Engage in a hobby or activity you enjoy.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.",Building self-esteem in certain cultures is about communal respect. How do you feel about your support network?
Stress,Work is too overwhelming.,Moderate,Here are some strategies that might help: journaling or mindfulness.,Have you noticed any changes in your daily routine or mood?,Engage in a hobby or activity you enjoy.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","For some, stress relief comes from community support. Spending time with loved ones could offer comfort."
Grief,I can’t stop thinking about my loss.,Moderate,"It's brave of you to talk about this. Remember, help is always available.",Can you share what’s been on your mind lately?,Engage in a hobby or activity you enjoy.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.",Many cultures find comfort in ceremonial practices or honoring the memory of loved ones. Is there something that helps you in your grief?
PTSD,Certain sounds make me panic.,Mild,Here are some strategies that might help: journaling or mindfulness.,What do you usually do to cope with such feelings?,Consider scheduling a therapy session.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","Certain cultural practices, like talking to an elder or spiritual leader, might help. Would you be interested in exploring this?"
PTSD,I keep reliving a bad experience.,Moderate,It's okay to feel this way. Have you tried deep breathing exercises?,When did you start feeling this way?,Practice progressive muscle relaxation.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","For some people, PTSD is processed with the support of family or community. Reaching out to them might provide relief."
Depression,Nothing seems enjoyable anymore.,Severe,Consider taking a short break and reflecting on what makes you happy.,Can you share what’s been on your mind lately?,"Drink some water and take slow, deep breaths.","If you're feeling overwhelmed, please call a crisis hotline: 123-456-7890.","In cultures that emphasize family, it may help to share your feelings with a trusted family member."
Self-Esteem,I always compare myself to others.,Moderate,I hear you. It’s important to acknowledge these feelings.,What do you feel is triggering these thoughts?,Practice progressive muscle relaxation.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.",Building self-esteem in certain cultures is about communal respect. How do you feel about your support network?
Loneliness,I just want someone to talk to.,Severe,"It's brave of you to talk about this. Remember, help is always available.",What do you usually do to cope with such feelings?,Take a 10-minute walk to clear your mind.,Consider contacting a mental health professional nearby.,Some people find comfort in spiritual practices when feeling alone. Would you like some suggestions on how to connect with your faith?
Depression,Nothing seems enjoyable anymore.,Moderate,Would you like some tips to help manage this?,Have you noticed any changes in your daily routine or mood?,Take a 10-minute walk to clear your mind.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","For some, engaging in spiritual practices like prayer can provide a sense of peace. Would you like suggestions?"
Self-Esteem,I feel like I’m not good enough.,Mild,You are not alone. Let's work through this together.,What do you usually do to cope with such feelings?,Try a 5-minute mindfulness meditation.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","In some cultures, collective achievements are valued more than individual accomplishments. Could focusing on community goals be helpful?"
Self-Esteem,I feel like I’m not good enough.,Severe,Would you like some tips to help manage this?,Is there something specific that has been troubling you?,Consider scheduling a therapy session.,Consider contacting a mental health professional nearby.,"In some cultures, collective achievements are valued more than individual accomplishments. Could focusing on community goals be helpful?"
Burnout,I’m so exhausted all the time.,Moderate,"It's brave of you to talk about this. Remember, help is always available.",Have you noticed any changes in your daily routine or mood?,Write down three things you’re grateful for.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","In collectivist cultures, relying on family or friends can ease burnout. You might consider taking a break with loved ones."
Self-Esteem,I feel like I’m not good enough.,Mild,I hear you. It’s important to acknowledge these feelings.,Can you share what’s been on your mind lately?,"Drink some water and take slow, deep breaths.","If you feel this is too much to handle on your own, seeking support from a mental health professional might help.",Building self-esteem in certain cultures is about communal respect. How do you feel about your support network?
Depression,I feel so sad and hopeless.,Moderate,Here are some strategies that might help: journaling or mindfulness.,Is there something specific that has been troubling you?,Engage in a hobby or activity you enjoy.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","For some, engaging in spiritual practices like prayer can provide a sense of peace. Would you like suggestions?"
Stress,I can't relax no matter what I try.,Moderate,Here are some strategies that might help: journaling or mindfulness.,When did you start feeling this way?,Engage in a hobby or activity you enjoy.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","In many cultures, it’s helpful to connect with nature as a way to relax. Have you considered a nature walk or time outdoors?"
Loneliness,I feel so alone.,Mild,Would you like some tips to help manage this?,Can you share what’s been on your mind lately?,"Drink some water and take slow, deep breaths.","If you feel this is too much to handle on your own, seeking support from a mental health professional might help.",Some people find comfort in spiritual practices when feeling alone. Would you like some suggestions on how to connect with your faith?
Self-Esteem,I feel like I’m not good enough.,Moderate,Would you like some tips to help manage this?,Is there something specific that has been troubling you?,Reach out to someone you trust to talk.,"If you feel this is too much to handle on your own, seeking support from a mental health professional might help.",Building self-esteem in certain cultures is about communal respect. How do you feel about your support network?
Burnout,I have no motivation left.,Moderate,Consider taking a short break and reflecting on what makes you happy.,When did you start feeling this way?,"Drink some water and take slow, deep breaths.","If you feel this is too much to handle on your own, seeking support from a mental health professional might help.","Sometimes, taking a step back and focusing on your spiritual practices can provide rejuvenation."
